orange,250,121,87
red,255,0,0
red,186,7,7
red,186,7,7
red,237,12,12
red,201,7,0
red,171,24,19
purple,136,24,129
green,47,213,82
yellow,196,242,40
green,108,194,178
purple,143,118,163
yellow,217,186,61
green,55,85,17
orange,230,182,62
yellow,218,245,101
green,18,117,1
pink,242,152,180
yellow,218,208,45
green,93,221,202
blue,41,118,128
blue,15,22,163
blue,17,105,139
green,94,232,1
blue,112,160,202
green,78,206,103
green,83,253,219
purple,151,34,174
green,95,146,56
pink,237,93,133
blue,102,173,190
green,44,189,26
pink,228,161,217
blue,28,122,171
green,145,176,129
purple,175,5,124
purple,199,148,219
purple,73,32,154
brown,119,59,64
green,158,223,50
purple,81,29,140
